Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,2351.035,2379.567,2351.17,2367.086,363390500,16.051,2351.035,215592581800,14200,,,,,,,,AGRI,21,162885874665590.0
05-01-2015,2367.086,2369.717,2321.438,2322.258,347277372,-44.828,2367.086,218562961100,19150,,,,,,,,AGRI,21,159801167085674.0
06-01-2015,2322.258,2318.483,2295.908,2295.908,891267775,-26.35,2322.258,233009403855,18391,,,,,,,,AGRI,21,157987922184521.0
07-01-2015,2295.908,2328.036,2260.65,2288.405,1387421600,-7.503,2295.908,366068691900,27151,,,,,,,,AGRI,21,157471626054945.0
08-01-2015,2288.405,2329.59,2293.821,2322.287,1759114500,33.882,2288.405,595231993700,31236,,,,,,,,AGRI,21,159803160728676.0
09-01-2015,2322.287,2366.009,2331.555,2352.288,576620461,30.001,2322.287,369225131428,22134,,,,,,,,AGRI,21,161867576351763.0
12-01-2015,2352.288,2352.404,2316.935,2340.15,833531050,-12.138,2352.288,282491912450,19506,,,,,,,,AGRI,21,161032359568628.0
13-01-2015,2340.15,2348.952,2315.576,2331.335,992980900,-8.815,2340.15,334085264500,19145,,,,,,,,AGRI,21,160425727487702.0
14-01-2015,2331.335,2356.386,2282.401,2284.447,1094678000,-46.888,2331.335,302733372400,20866,,,,,,,,AGRI,21,157199277420050.0
15-01-2015,2284.447,2310.001,2288.593,2304.854,699610044,20.407,2284.447,287362973722,17715,,,,,,,,AGRI,21,158603511268498.0
16-01-2015,2304.854,2318.232,2285.347,2291.437,1065106005,-13.417,2304.854,326014595900,23974,,,,,,,,AGRI,21,157680244366608.0
19-01-2015,2291.437,2299.747,2275.532,2278.006,430927288,-13.431,2291.437,204661311100,19057,,,,,,,,AGRI,21,156756069524129.0
20-01-2015,2278.006,2288.151,2237.476,2251.555,543836205,-26.451,2278.006,187087547825,16590,,,,,,,,AGRI,21,154935866390686.0
21-01-2015,2251.555,2266.059,2247.794,2252.844,417807142,1.289,2251.555,182235040500,15207,,,,,,,,AGRI,21,155024571790438.0
22-01-2015,2252.844,2253.002,2238.477,2241.773,503474700,-11.071,2252.844,250772705400,17985,,,,,,,,AGRI,21,154262740407559.0
23-01-2015,2241.773,2264.823,2243.315,2245.553,430702215,3.78,2241.773,277688840700,23026,,,,,,,,AGRI,21,154522871134852.0
26-01-2015,2245.553,2262.517,2224.209,2226.561,454191059,-18.992,2245.553,294757314650,19267,,,,,,,,AGRI,21,153215978031468.0
27-01-2015,2226.561,2253.439,2224.018,2253.439,356776253,26.878,2226.561,325665809850,15660,,,,,,,,AGRI,21,155065492954885.0
28-01-2015,2253.439,2261.853,2239.847,2241.23,747268048,-12.209,2253.439,233673082100,16298,,,,,,,,AGRI,21,154225369972977.0
29-01-2015,2241.23,2241.798,2220.726,2221.586,381073421,-19.644,2241.23,206705966875,12983,,,,,,,,AGRI,21,152873613995225.0
30-01-2015,2221.586,2245.843,2206.869,2245.843,272976017,24.257,2221.586,199098659430,12277,,,,,,,,AGRI,21,154542790284682.0
02-02-2015,2245.843,2253.852,2226.36,2242.446,507954300,-3.397,2245.843,196662255700,13359,,,,,,,,AGRI,21,154309054818667.0
03-02-2015,2242.446,2254.098,2184.614,2195.996,360492279,-46.45,2242.446,221519069430,16226,,,,,,,,AGRI,21,151112716122468.0
04-02-2015,2195.996,2217.94,2171.41,2175.039,275322444,-20.957,2195.996,232876256300,16747,,,,,,,,AGRI,21,149670595756484.0
05-02-2015,2175.039,2245.502,2178.155,2245.502,686533505,70.463,2175.039,464796637050,21730,,,,,,,,AGRI,21,154519364187184.0
06-02-2015,2245.502,2328.134,2260.535,2328.134,577373963,82.632,2245.502,574203570300,26438,,,,,,,,AGRI,21,160205474501451.0
09-02-2015,2328.134,2334.339,2274.686,2274.686,379304030,-53.448,2328.134,258694942700,17409,,,,,,,,AGRI,21,156527581931760.0
10-02-2015,2274.686,2285.028,2254.622,2255.489,477784877,-19.197,2274.686,233479412810,12404,,,,,,,,AGRI,21,155206575083531.0
11-02-2015,2255.489,2272.216,2253.739,2272.216,712944737,16.727,2255.489,226610550095,14266,,,,,,,,AGRI,21,156357622255544.0
12-02-2015,2272.216,2295.895,2266.123,2283.376,437229600,11.16,2272.216,308407373000,19635,,,,,,,,AGRI,21,157125538703816.0
13-02-2015,2283.376,2297.431,2238.82,2257.904,293314803,-25.472,2283.376,226425302550,15914,,,,,,,,AGRI,21,155372764347279.0
16-02-2015,2257.904,2263.619,2235.099,2237.882,317811400,-20.022,2257.904,161852709900,13057,,,,,,,,AGRI,21,153994994246004.0
17-02-2015,2237.882,2253.476,2236.473,2244.195,919299898,6.313,2237.882,286255201300,16830,,,,,,,,AGRI,21,154429381121028.0
18-02-2015,2244.195,2258.477,2239.5,2258.477,909290014,14.282,2244.195,223303786970,12099,,,,,,,,AGRI,21,155412222606914.0
20-02-2015,2258.477,2262.123,2253.012,2256.096,1020259703,-2.381,2258.477,222447539475,11360,,,,,,,,AGRI,21,155248333390015.0
23-02-2015,2256.096,2267.156,2223.428,2242.705,501127200,-13.391,2256.096,312574433900,17722,,,,,,,,AGRI,21,154326867095297.0
