Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,543.674,545.99,541.495,541.833,501886150,-1.841,543.674,310575864100,16593,,,,,,,,BASIC-IND,65,380344863735512.0
05-01-2015,541.833,542.85,538.274,541.517,624650301,-0.316,541.833,404526673127,34659,,,,,,,,BASIC-IND,65,380123600936365.0
06-01-2015,541.517,538.64,533.458,533.815,384971175,-7.702,541.517,330864904246,25731,,,,,,,,BASIC-IND,65,374716479939165.0
07-01-2015,533.815,539.209,532.962,538.62,571009760,4.805,533.815,412796029690,31025,,,,,,,,BASIC-IND,65,378089768972368.0
08-01-2015,538.62,540.976,535.833,536.788,661435772,-1.832,538.62,596734850618,31848,,,,,,,,BASIC-IND,65,376804044541239.0
09-01-2015,536.788,538.901,532.332,532.332,378458057,-4.456,536.788,396232737979,23959,,,,,,,,BASIC-IND,65,373675509812842.0
12-01-2015,532.332,538.921,532.514,535.481,550191173,3.149,532.332,357027248315,30025,,,,,,,,BASIC-IND,65,375886607155238.0
13-01-2015,535.481,541.751,537.478,541.5,672550100,6.019,535.481,496464512200,37257,,,,,,,,BASIC-IND,65,380111638747189.0
14-01-2015,541.5,543.891,535.509,535.509,1100031111,-5.991,541.5,656035974565,28761,,,,,,,,BASIC-IND,65,375906240124419.0
15-01-2015,535.509,542.014,537.392,540.967,398081273,5.458,535.509,521117510062,20550,,,,,,,,BASIC-IND,65,379737421935584.0
16-01-2015,540.967,546.352,515.182,515.182,601218083,-25.785,540.967,1443362684075,39081,,,,,,,,BASIC-IND,65,361637090168063.0
19-01-2015,515.182,517.048,499.552,503.176,485753796,-12.006,515.182,1224526897750,41745,,,,,,,,BASIC-IND,65,353209492345753.0
20-01-2015,503.176,508.95,500.652,507.007,484937773,3.831,503.176,910976359610,26733,,,,,,,,BASIC-IND,65,355898861765469.0
21-01-2015,507.007,509.487,504.087,506.58,418478538,-0.427,507.007,532570918115,21931,,,,,,,,BASIC-IND,65,355599240570917.0
22-01-2015,506.58,517.257,507.67,515.472,1225447100,8.892,506.58,926693904500,29209,,,,,,,,BASIC-IND,65,361840681719141.0
23-01-2015,515.472,521.176,517.736,520.593,458821000,5.121,515.472,645380093000,33871,,,,,,,,BASIC-IND,65,365435840589111.0
26-01-2015,520.593,522.965,513.962,518.759,654946707,-1.834,520.593,659644115325,30131,,,,,,,,BASIC-IND,65,364147995059391.0
27-01-2015,518.759,520.542,515.749,520.422,861076463,1.663,518.759,571603162132,24445,,,,,,,,BASIC-IND,65,365315368987936.0
28-01-2015,520.422,519.76,517.793,519.381,571722864,-1.041,520.422,393063212195,18148,,,,,,,,BASIC-IND,65,364584830557270.0
29-01-2015,519.381,518.42,515.046,518.016,617783914,-1.365,519.381,414230626267,19374,,,,,,,,BASIC-IND,65,363626213525555.0
30-01-2015,518.016,521.374,518.457,520.616,530072395,2.6,518.016,498175182939,18924,,,,,,,,BASIC-IND,65,365451959947878.0
02-02-2015,520.616,518.439,513.124,514.318,380150400,-6.298,520.616,384331697300,24871,,,,,,,,BASIC-IND,65,361030568475796.0
03-02-2015,514.318,520.811,514.261,517.185,624928946,2.867,514.318,567170584305,20896,,,,,,,,BASIC-IND,65,363043349008623.0
04-02-2015,517.185,521.27,516.632,517.569,473522781,0.384,517.185,682652547600,26743,,,,,,,,BASIC-IND,65,363312985296625.0
05-02-2015,517.569,519.894,515.887,518.579,484448967,1.01,517.569,531707228604,23640,,,,,,,,BASIC-IND,65,364021448559176.0
06-02-2015,518.579,523.5,518.67,523.5,235703467,4.921,518.579,256404528465,14893,,,,,,,,BASIC-IND,65,367476158028847.0
09-02-2015,523.5,527.171,522.849,525.816,165041880,2.316,523.5,309704222200,14448,,,,,,,,BASIC-IND,65,369101973318439.0
10-02-2015,525.816,525.762,520.829,523.403,134293750,-2.413,525.816,253319818100,12929,,,,,,,,BASIC-IND,65,367407712483038.0
11-02-2015,523.403,524.275,520.749,522.631,161493987,-0.772,523.403,366762585190,17864,,,,,,,,BASIC-IND,65,366866263264505.0
12-02-2015,522.631,523.277,515.783,518.351,120104074,-4.28,522.631,387999569570,17173,,,,,,,,BASIC-IND,65,363861659801860.0
13-02-2015,518.351,521.02,517.296,518.624,66466739,0.273,518.351,153994706951,9430,,,,,,,,BASIC-IND,65,364053179391108.0
16-02-2015,518.624,519.9,515.848,517.568,81510188,-1.056,518.624,188273185099,10905,,,,,,,,BASIC-IND,65,363311756976118.0
17-02-2015,517.568,521.213,518.122,520.021,95507500,2.453,517.568,171547905100,9263,,,,,,,,BASIC-IND,65,365033767502965.0
18-02-2015,520.021,522.562,520.365,520.509,91281247,0.488,520.021,207493426985,12096,,,,,,,,BASIC-IND,65,365376344951774.0
20-02-2015,520.509,521.82,518.962,519.907,103638018,-0.602,520.509,149292969273,9132,,,,,,,,BASIC-IND,65,364953608522868.0
23-02-2015,519.907,522.696,519.798,522.059,71286610,2.152,519.907,163492005480,13786,,,,,,,,BASIC-IND,65,366464591997716.0
24-02-2015,522.059,523.439,520.145,522.653,118137406,0.594,522.059,269336284650,18101,,,,,,,,BASIC-IND,65,366881528049308.0
25-02-2015,522.653,526.688,521.525,526.688,108857614,4.035,522.653,258087579240,17731,,,,,,,,BASIC-IND,65,369714011756791.0
26-02-2015,526.688,526.062,523.284,525.308,715063940,-1.38,526.688,505717269100,20925,,,,,,,,BASIC-IND,65,368744989129822.0
27-02-2015,525.308,525.769,522.178,522.178,343484196,-3.13,525.308,520062196150,25082,,,,,,,,BASIC-IND,65,366547791113323.0
02-03-2015,522.178,522.861,520.801,522.757,239688942,0.579,522.178,321003188226,19640,,,,,,,,BASIC-IND,65,366954319784173.0
03-03-2015,522.757,523.681,520.226,520.943,409286487,-1.814,522.757,457072369645,20547,,,,,,,,BASIC-IND,65,365681008196784.0
04-03-2015,520.943,522.694,518.456,519.898,332248928,-1.045,520.943,314202571814,14151,,,,,,,,BASIC-IND,65,364947607048995.0
05-03-2015,519.898,521.789,518.3,519.344,389638057,-0.554,519.898,293664274450,17366,,,,,,,,BASIC-IND,65,364558482524118.0
06-03-2015,519.344,522.254,516.058,522.254,334114080,2.91,519.344,282048617500,23843,,,,,,,,BASIC-IND,65,366601582890976.0
09-03-2015,522.254,520.917,514.743,516.276,305581698,-5.978,522.254,285836530025,30138,,,,,,,,BASIC-IND,65,362405161136082.0
10-03-2015,516.276,516.007,512.545,514.505,958943156,-1.771,516.276,589111726220,27629,,,,,,,,BASIC-IND,65,361162308993015.0
11-03-2015,514.505,512.081,504.38,505.906,341764799,-8.599,514.505,499445781410,28905,,,,,,,,BASIC-IND,65,355125588823053.0
12-03-2015,505.906,505.126,500.259,501.525,384223629,-4.381,505.906,423333110630,25865,,,,,,,,BASIC-IND,65,352050673642718.0
