Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,2177.919,2207.544,2179.156,2205.275,192882200,27.356,2177.919,871208651200,13800,,,,,,,,CONSUMER,37,1.0209191696312E+15
05-01-2015,2205.275,2217.941,2182.747,2217.206,101025927,11.931,2205.275,498795581640,14272,,,,,,,,CONSUMER,37,1.0232958235131E+15
06-01-2015,2217.206,2209.905,2190.18,2202.421,80097395,-14.785,2217.206,328698954626,16714,,,,,,,,CONSUMER,37,1.01790180177235E+15
07-01-2015,2202.421,2234.148,2205.281,2226.331,83063342,23.91,2202.421,404377374738,17429,,,,,,,,CONSUMER,37,1.02606777363045E+15
08-01-2015,2226.331,2236.73,2214.436,2214.436,92131457,-11.895,2226.331,370807182850,14599,,,,,,,,CONSUMER,37,1.02238794622074E+15
09-01-2015,2214.436,2219.288,2199.485,2203.459,117954111,-10.977,2214.436,490209559090,18269,,,,,,,,CONSUMER,37,1.01911836068558E+15
12-01-2015,2203.459,2200.983,2166.077,2166.077,77922408,-37.382,2203.459,361131941900,13657,,,,,,,,CONSUMER,37,1.00620743370945E+15
13-01-2015,2166.077,2199.863,2178.826,2191.452,95386300,25.375,2166.077,422728179700,18874,,,,,,,,CONSUMER,37,1.0144155217104E+15
14-01-2015,2191.452,2199.671,2174.138,2174.138,119826265,-17.314,2191.452,396726106100,14325,,,,,,,,CONSUMER,37,1.00874034423883E+15
15-01-2015,2174.138,2187.515,2174.022,2179.181,112304475,5.043,2174.138,369324889585,11841,,,,,,,,CONSUMER,37,1.01039321959471E+15
16-01-2015,2179.181,2198.996,2173.371,2189.94,140294011,10.759,2179.181,285288685250,40460,,,,,,,,CONSUMER,37,1.01391990702694E+15
19-01-2015,2189.94,2208.989,2188.174,2208.943,106627731,19.003,2189.94,230056825050,12779,,,,,,,,CONSUMER,37,1.01905319075586E+15
20-01-2015,2208.943,2210.1,2194.408,2204.168,162715150,-4.775,2208.943,437616527000,13981,,,,,,,,CONSUMER,37,1.01748824045766E+15
