Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,731.64,734.765,729.727,733.319,387445205,1.679,731.64,842793667025,13684,,,,,,,,FINANCE,85,1.31778889557427E+15
05-01-2015,733.319,733.928,729.202,731.289,348459814,-2.03,733.319,764765826770,20049,,,,,,,,FINANCE,85,1.31690115033966E+15
06-01-2015,731.289,729.779,725.616,726.019,234097079,-5.27,731.289,691746059160,21516,,,,,,,,FINANCE,85,1.30731614233267E+15
07-01-2015,726.019,733.959,726.146,733.623,289308481,7.604,726.019,859318845912,21575,,,,,,,,FINANCE,85,1.32010724648168E+15
08-01-2015,733.623,736.154,733.18,735.293,425030541,1.67,733.623,1021654376690,25947,,,,,,,,FINANCE,85,1.32267392245854E+15
09-01-2015,735.293,742.716,736.217,738.113,919733024,2.82,735.293,2168391967475,23490,,,,,,,,FINANCE,85,1.32764192782299E+15
12-01-2015,738.113,738.682,728.833,730.763,299615157,-7.35,738.113,967767183650,17498,,,,,,,,FINANCE,85,1.31539550112628E+15
13-01-2015,730.763,734.468,728.258,731.725,366197042,0.962,730.763,824880939985,25803,,,,,,,,FINANCE,86,1.31721547897487E+15
14-01-2015,731.725,736.134,727.714,727.714,392056652,-4.011,731.725,784357958410,21211,,,,,,,,FINANCE,86,1.31002383990232E+15
15-01-2015,727.714,732.865,726.915,730.102,972135474,2.388,727.714,1149834374939,31561,,,,,,,,FINANCE,86,1.31439659944911E+15
16-01-2015,730.102,731.967,724.16,724.218,263899519,-5.884,730.102,1012957993446,17688,,,,,,,,FINANCE,86,1.30398956212613E+15
19-01-2015,724.218,729.088,723.62,724.385,291975526,0.167,724.218,830239227000,19781,,,,,,,,FINANCE,86,1.30438615135604E+15
20-01-2015,724.385,724.997,715.215,722.689,375262316,-1.696,724.385,1529695981900,21723,,,,,,,,FINANCE,86,1.30127180197011E+15
21-01-2015,722.689,726.43,718.948,725.209,616570506,2.52,722.689,1455355334789,34206,,,,,,,,FINANCE,86,1.3059533170415E+15
22-01-2015,725.209,729.671,724.618,728.48,751323651,3.271,725.209,1343237257896,33360,,,,,,,,FINANCE,86,1.31195144227099E+15
23-01-2015,728.48,745.08,732.281,744.399,706222750,15.919,728.48,1794761850465,43722,,,,,,,,FINANCE,86,1.34017258564467E+15
26-01-2015,744.399,743.954,729.598,737.823,1898865976,-6.576,744.399,1810827103950,29560,,,,,,,,FINANCE,86,1.32842451156091E+15
27-01-2015,737.823,742.074,737.229,739.627,494495549,1.804,737.823,1369082121825,20205,,,,,,,,FINANCE,86,1.33199593885511E+15
28-01-2015,739.627,741.91,733.908,734.426,478665279,-5.201,739.627,1133846961800,21384,,,,,,,,FINANCE,86,1.32277628415122E+15
29-01-2015,734.426,735.684,731.543,733.988,391094047,-0.438,734.426,925152592801,17708,,,,,,,,FINANCE,86,1.32187617451856E+15
30-01-2015,733.988,740.53,735.403,735.403,562434055,1.415,733.988,1504238744775,26523,,,,,,,,FINANCE,86,1.3245093297272E+15
02-02-2015,735.403,740.736,733.295,740.736,490608402,5.333,735.403,998353119132,23022,,,,,,,,FINANCE,86,1.33383933679468E+15
03-02-2015,740.736,748.307,741.939,747.547,462686879,6.811,740.736,1075334215063,22201,,,,,,,,FINANCE,86,1.34578876509749E+15
04-02-2015,747.547,761.24,748.571,755.13,754700350,7.583,747.547,1908373600070,34489,,,,,,,,FINANCE,86,1.35923370135287E+15
05-02-2015,755.13,756.023,744.35,749.024,511318433,-6.106,755.13,1449082142093,28331,,,,,,,,FINANCE,86,1.34778574687992E+15
06-02-2015,749.024,757.552,752.146,753.919,1803381115,4.895,749.024,1870013474140,29977,,,,,,,,FINANCE,86,1.35646411018676E+15
09-02-2015,753.919,766.061,752.199,761.607,830228325,7.688,753.919,1653609726300,28188,,,,,,,,FINANCE,86,1.36984550003962E+15
10-02-2015,761.607,763.98,755.595,757.22,539882594,-4.387,761.607,1281970906436,23522,,,,,,,,FINANCE,86,1.36231642157176E+15
11-02-2015,757.22,762.639,757.165,760.07,539320216,2.85,757.22,1124281907750,23137,,,,,,,,FINANCE,86,1.36724511239145E+15
12-02-2015,760.07,764.244,759.395,762.534,839561234,2.464,760.07,1493266161125,26751,,,,,,,,FINANCE,86,1.37161407844561E+15
13-02-2015,762.534,770.61,764.927,766.653,595684975,4.119,762.534,1531492522781,19501,,,,,,,,FINANCE,86,1.37891662204755E+15
16-02-2015,766.653,769.719,764.518,766.065,551819521,-0.588,766.653,1725421508789,21835,,,,,,,,FINANCE,86,1.37772392927648E+15
17-02-2015,766.065,768.389,762.209,765.249,829638324,-0.816,766.065,1027333701125,17806,,,,,,,,FINANCE,86,1.37601057323408E+15
18-02-2015,765.249,789.741,775.72,779.685,2365470186,14.436,765.249,8713883535281,35073,,,,,,,,FINANCE,86,1.40198148370099E+15
20-02-2015,779.685,792.363,784.571,786.687,820823891,7.002,779.685,1324763975935,22239,,,,,,,,FINANCE,86,1.41452393359466E+15
23-02-2015,786.687,787.848,778.898,783.428,931455415,-3.259,786.687,1438421083925,31080,,,,,,,,FINANCE,86,1.40852851713789E+15
24-02-2015,783.428,788.26,782.385,785.732,868662420,2.304,783.428,1588202554635,24884,,,,,,,,FINANCE,86,1.41274393316163E+15
25-02-2015,785.732,789.117,786.018,788.742,816917154,3.01,785.732,1062060687515,29507,,,,,,,,FINANCE,86,1.41771075477867E+15
26-02-2015,788.742,790.422,785.256,788.897,1010844440,0.155,788.742,1361992448580,37715,,,,,,,,FINANCE,86,1.41836068908771E+15
27-02-2015,788.897,793.237,787.729,791.528,927662473,2.631,788.897,1316352813445,28745,,,,,,,,FINANCE,86,1.42302401766212E+15
02-03-2015,791.528,795.294,790.419,794.759,788964488,3.231,791.528,1595461047125,26726,,,,,,,,FINANCE,86,1.42899937713018E+15
03-03-2015,794.759,800.398,793.043,793.088,944194610,-1.671,794.759,1643183075325,40173,,,,,,,,FINANCE,86,1.4260405077851E+15
04-03-2015,793.088,797.697,789.812,794.415,956566846,1.327,793.088,1348942551632,32875,,,,,,,,FINANCE,86,1.42868067281218E+15
05-03-2015,794.415,798.957,794.226,795.486,1013521992,1.071,794.415,1519491712499,28778,,,,,,,,FINANCE,86,1.43071070012285E+15
06-03-2015,795.486,806.681,796.716,806.681,767039492,11.195,795.486,1276931408371,24915,,,,,,,,FINANCE,86,1.45031245105981E+15
09-03-2015,806.681,801.615,790.534,795.594,845458320,-11.087,806.681,1427090474780,31172,,,,,,,,FINANCE,86,1.43028235924027E+15
10-03-2015,795.594,804.383,792.725,800.866,902855042,5.272,795.594,1254313496635,41834,,,,,,,,FINANCE,86,1.43953633528683E+15
11-03-2015,800.866,798.296,793.177,794.195,954511893,-6.671,800.866,1741721668615,29993,,,,,,,,FINANCE,86,1.42795642075749E+15
12-03-2015,794.195,799.426,793.352,796.751,906633890,2.556,794.195,1065636198540,21561,,,,,,,,FINANCE,86,1.4323643974761E+15
13-03-2015,796.751,801.562,791.244,793.585,838623024,-3.166,796.751,1216133334355,27080,,,,,,,,FINANCE,86,1.42700117290534E+15
16-03-2015,793.585,803.044,790.596,800.503,2040626415,6.918,793.585,1458762567101,33104,,,,,,,,FINANCE,86,1.43914177109041E+15
17-03-2015,800.503,805.892,800.683,800.693,1098375985,0.19,800.503,1030253889185,31393,,,,,,,,FINANCE,86,1.43960394860482E+15
18-03-2015,800.693,803.927,795.465,803.161,1072406043,2.468,800.693,1150426923150,30852,,,,,,,,FINANCE,86,1.44398149342204E+15
19-03-2015,803.161,810.464,803.053,806.208,925680056,3.047,803.161,1362551769250,28232,,,,,,,,FINANCE,86,1.44926034125258E+15
20-03-2015,806.208,809.609,799.801,805.299,1053292952,-0.909,806.208,1398637917420,30108,,,,,,,,FINANCE,86,1.44777215415735E+15
23-03-2015,805.299,810.33,807.121,807.304,986261704,2.005,805.299,984187026792,21140,,,,,,,,FINANCE,86,1.45132832784475E+15
24-03-2015,807.304,813.031,807.777,811.901,903716998,4.597,807.304,1450909686880,29326,,,,,,,,FINANCE,86,1.45948046956792E+15
25-03-2015,811.901,816.485,808.748,813.003,827908373,1.102,811.901,1191899877940,24726,,,,,,,,FINANCE,86,1.4610604259359E+15
26-03-2015,813.003,817.689,808.159,811.251,1043275663,-1.752,813.003,1300539941554,25511,,,,,,,,FINANCE,86,1.45795442939502E+15
27-03-2015,811.251,810.401,804.24,809.827,855904735,-1.424,811.251,1274993104330,20132,,,,,,,,FINANCE,86,1.4555543249729E+15
30-03-2015,809.827,818.907,809.524,810.781,914996341,0.954,809.827,1379230024265,21942,,,,,,,,FINANCE,86,1.45749507773726E+15
