Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,1160.284,1165.95,1156.266,1156.63,657301416,-3.654,1160.284,314211117480,21070,,,,,,,,INFRASTRUC,51,740885986261124.0
05-01-2015,1156.63,1153.525,1146.458,1150.403,1917558431,-6.227,1156.63,763776254745,32581,,,,,,,,INFRASTRUC,51,736882459151081.0
06-01-2015,1150.403,1148.951,1141.735,1142.193,1830592026,-8.21,1150.403,966433339030,59369,,,,,,,,INFRASTRUC,51,731604984498404.0
07-01-2015,1142.193,1153.853,1137.295,1142.088,2245481610,-0.105,1142.193,960311850884,63915,,,,,,,,INFRASTRUC,51,731537306012722.0
08-01-2015,1142.088,1149.892,1142.781,1144.794,1155753398,2.706,1142.088,807743230691,41618,,,,,,,,INFRASTRUC,51,733277093821939.0
09-01-2015,1144.794,1153.598,1146.492,1148.167,1115245317,3.373,1144.794,882005228307,34198,,,,,,,,INFRASTRUC,51,735445583468364.0
12-01-2015,1148.167,1147.59,1141.341,1144.463,2178960562,-3.704,1148.167,905743338225,42395,,,,,,,,INFRASTRUC,51,733064216784751.0
13-01-2015,1144.463,1148.778,1139.988,1140.97,2042802852,-3.493,1144.463,1236213793830,59425,,,,,,,,INFRASTRUC,51,730820257166147.0
14-01-2015,1140.97,1143.606,1129.613,1129.613,1419357461,-11.357,1140.97,946467157375,50457,,,,,,,,INFRASTRUC,51,723729185224248.0
15-01-2015,1129.613,1141.22,1128.645,1135.658,1397006650,6.045,1129.613,830282192505,38414,,,,,,,,INFRASTRUC,51,727631806421703.0
16-01-2015,1135.658,1146.984,1136.286,1139.078,1200495969,3.42,1135.658,841747628755,40247,,,,,,,,INFRASTRUC,51,731027882548041.0
19-01-2015,1139.078,1141.98,1118.094,1128.049,2041925656,-11.029,1139.078,953040344237,36921,,,,,,,,INFRASTRUC,51,723953963469298.0
20-01-2015,1128.049,1135.185,1118.411,1135.185,1164803653,7.136,1128.049,825583926570,41225,,,,,,,,INFRASTRUC,51,728558347203212.0
21-01-2015,1135.185,1140.088,1129.94,1140.088,733622585,4.903,1135.185,719239580950,32445,,,,,,,,INFRASTRUC,51,731709928835874.0
22-01-2015,1140.088,1143.419,1134.155,1136.341,1295702140,-3.747,1140.088,988968165950,39333,,,,,,,,INFRASTRUC,51,730485626060232.0
23-01-2015,1136.341,1147.55,1138.634,1143.939,894474677,7.598,1136.341,1001618334680,44257,,,,,,,,INFRASTRUC,51,735370540881980.0
26-01-2015,1143.939,1143.356,1113.196,1122.645,1768380920,-21.294,1143.939,1271084516515,36489,,,,,,,,INFRASTRUC,51,721681711525265.0
27-01-2015,1122.645,1126.672,1112.31,1126.672,856671627,4.027,1122.645,967297124735,33648,,,,,,,,INFRASTRUC,51,724270499118528.0
28-01-2015,1126.672,1129.019,1123.669,1124.793,958917722,-1.879,1126.672,760468530990,31556,,,,,,,,INFRASTRUC,51,723062327094649.0
29-01-2015,1124.793,1126.306,1117.984,1125.215,5768684494,0.422,1124.793,1023761746835,30640,,,,,,,,INFRASTRUC,51,723334011052419.0
30-01-2015,1125.215,1130.68,1114.319,1114.35,752805295,-10.865,1125.215,815958597870,31012,,,,,,,,INFRASTRUC,51,716348953268716.0
02-02-2015,1114.35,1117.465,1106.835,1107.739,1841911127,-6.611,1114.35,1399626099660,24587,,,,,,,,INFRASTRUC,51,712099205368808.0
03-02-2015,1107.739,1115.974,1107.534,1115.241,656780685,7.502,1107.739,701316289328,29909,,,,,,,,INFRASTRUC,51,716922117125691.0
04-02-2015,1115.241,1128.342,1119.586,1127.191,654063417,11.95,1115.241,988948629540,34707,,,,,,,,INFRASTRUC,51,724604137706094.0
05-02-2015,1127.191,1124.44,1111.034,1116.101,639568971,-11.09,1127.191,1115046412500,28834,,,,,,,,INFRASTRUC,51,717474870279446.0
06-02-2015,1116.101,1122.952,1113.936,1122.677,736527277,6.576,1116.101,664223580190,29640,,,,,,,,INFRASTRUC,51,721701873862677.0
09-02-2015,1122.677,1131.579,1120.193,1121.937,1663032156,-0.74,1122.677,730750688355,27430,,,,,,,,INFRASTRUC,51,721226782655696.0
10-02-2015,1121.937,1128.082,1112.829,1118.901,774640415,-3.036,1121.937,750010209260,28636,,,,,,,,INFRASTRUC,51,719275060903426.0
11-02-2015,1118.901,1126.434,1118.895,1120.068,1191145386,1.167,1118.901,724655588380,38328,,,,,,,,INFRASTRUC,51,720025157030775.0
12-02-2015,1120.068,1129.428,1120.256,1128.175,865063509,8.107,1120.068,825569725630,34209,,,,,,,,INFRASTRUC,51,725236801553288.0
13-02-2015,1128.175,1150.001,1132.161,1143.644,1337802279,15.469,1128.175,1177655467688,29761,,,,,,,,INFRASTRUC,51,735180756578616.0
16-02-2015,1143.644,1143.612,1123.04,1124.155,1664759206,-19.489,1143.644,744872517947,26297,,,,,,,,INFRASTRUC,51,722652467069355.0
17-02-2015,1124.155,1129.008,1119.415,1123.6,562210552,-0.555,1124.155,541394459930,21100,,,,,,,,INFRASTRUC,51,722295356595901.0
18-02-2015,1123.6,1130.849,1122.261,1122.437,1508385732,-1.163,1123.6,3856016022850,26273,,,,,,,,INFRASTRUC,51,721548063110518.0
20-02-2015,1122.437,1132.423,1123.174,1123.231,322352791,0.794,1122.437,431927689293,19062,,,,,,,,INFRASTRUC,51,722058369352804.0
23-02-2015,1123.231,1134.589,1126.832,1130.004,578210238,6.773,1123.231,968629782690,22995,,,,,,,,INFRASTRUC,51,724935781574884.0
24-02-2015,1130.004,1136.931,1125.616,1130.49,1606911532,0.486,1130.004,606512256566,26329,,,,,,,,INFRASTRUC,51,725236708690906.0
25-02-2015,1130.49,1135.851,1125.655,1135.781,1192733312,5.291,1130.49,724844847100,34884,,,,,,,,INFRASTRUC,51,728638487680784.0
26-02-2015,1135.781,1137.942,1130.918,1134.509,1009526504,-1.272,1135.781,1837546370460,31925,,,,,,,,INFRASTRUC,51,727817426182867.0
27-02-2015,1134.509,1136.514,1126.407,1129.326,537257115,-5.183,1134.509,783021288595,25210,,,,,,,,INFRASTRUC,51,724483309611786.0
02-03-2015,1129.326,1135.618,1129.085,1135.618,604442611,6.292,1129.326,779469045645,29943,,,,,,,,INFRASTRUC,51,728533094166670.0
03-03-2015,1135.618,1137.042,1130.929,1134.856,1519033619,-0.762,1135.618,872394352000,31818,,,,,,,,INFRASTRUC,51,728038227161103.0
04-03-2015,1134.856,1135.297,1121.294,1124.456,438152471,-10.4,1134.856,528451490580,24039,,,,,,,,INFRASTRUC,51,721358353656950.0
05-03-2015,1124.456,1131.95,1121.345,1126.789,482562394,2.333,1124.456,636658454925,24832,,,,,,,,INFRASTRUC,51,722852538559422.0
06-03-2015,1126.789,1144.971,1130.83,1144.971,713078794,18.182,1126.789,824569349752,32473,,,,,,,,INFRASTRUC,51,734535156946591.0
09-03-2015,1144.971,1139.954,1127.702,1132.828,607389331,-12.143,1144.971,762620027560,33042,,,,,,,,INFRASTRUC,51,726734462959971.0
10-03-2015,1132.828,1135.22,1121.389,1130.35,2306217570,-2.478,1132.828,703244191101,40892,,,,,,,,INFRASTRUC,51,725155132976793.0
11-03-2015,1130.35,1131.629,1122.14,1124.52,1192991886,-5.83,1130.35,905813413845,39764,,,,,,,,INFRASTRUC,51,722884372698304.0
12-03-2015,1124.52,1128.543,1121.09,1124.764,1172282958,0.244,1124.52,641036659600,32857,,,,,,,,INFRASTRUC,51,723041206187611.0
13-03-2015,1124.764,1133.462,1123.013,1127.941,971123492,3.177,1124.764,626206371283,32180,,,,,,,,INFRASTRUC,51,725083078490213.0
16-03-2015,1127.941,1136.145,1125.179,1129.685,607931429,1.744,1127.941,737795369045,28773,,,,,,,,INFRASTRUC,51,726292547345003.0
17-03-2015,1129.685,1135.826,1126.803,1127.567,2381492189,-2.118,1129.685,949887575668,34575,,,,,,,,INFRASTRUC,51,724930961055316.0
18-03-2015,1127.567,1127.28,1116.731,1116.731,1117600300,-10.836,1127.567,633615138700,39576,,,,,,,,INFRASTRUC,51,717977131341012.0
19-03-2015,1116.731,1125.233,1119.586,1121.643,1035346046,4.912,1116.731,909115092935,38037,,,,,,,,INFRASTRUC,51,721134662140759.0
20-03-2015,1121.643,1118.821,1112.56,1117.566,1251535081,-4.077,1121.643,867032436420,41147,,,,,,,,INFRASTRUC,51,718513922257958.0
23-03-2015,1117.566,1122.763,1114.707,1115.128,1322102624,-2.438,1117.566,445402820530,39129,,,,,,,,INFRASTRUC,51,716952356962143.0
24-03-2015,1115.128,1121.349,1108.576,1109.189,582284011,-5.939,1115.128,670740792320,30098,,,,,,,,INFRASTRUC,51,713133651899609.0
25-03-2015,1109.189,1108.26,1091.431,1093.131,694969174,-16.058,1109.189,844118511021,39675,,,,,,,,INFRASTRUC,51,702809905998154.0
26-03-2015,1093.131,1088.315,1074.715,1077.877,1130191235,-15.254,1093.131,1369286548600,35717,,,,,,,,INFRASTRUC,51,693002665279969.0
27-03-2015,1077.877,1087.883,1071.967,1080.627,504938929,2.75,1077.877,695063647194,28571,,,,,,,,INFRASTRUC,51,694770175648298.0
30-03-2015,1080.627,1100.415,1083.839,1094.318,600254799,13.691,1080.627,752159767405,36793,,,,,,,,INFRASTRUC,51,703573163343347.0
31-03-2015,1094.318,1106.197,1091.768,1100.748,1063954200,6.43,1094.318,1149725817000,47774,,,,,,,,INFRASTRUC,51,707706610053978.0
01-04-2015,1100.748,1101.045,1084.656,1089.822,1060264928,-10.926,1100.748,697533368810,41917,,,,,,,,INFRASTRUC,51,700682199509651.0
02-04-2015,1089.822,1093.702,1084.554,1087.429,780411427,-2.393,1089.822,579031990378,29771,,,,,,,,INFRASTRUC,51,699143682870890.0
06-04-2015,1087.429,1093.588,1088.895,1091.098,712460259,3.669,1087.429,615046418745,29731,,,,,,,,INFRASTRUC,51,701502514359906.0
07-04-2015,1091.098,1096.963,1089.44,1095.952,783093276,4.854,1091.098,566369525014,32005,,,,,,,,INFRASTRUC,51,704623504892714.0
08-04-2015,1095.952,1097.22,1086.945,1089.712,599985622,-6.24,1095.952,1025516776580,34254,,,,,,,,INFRASTRUC,51,700611649748996.0
09-04-2015,1089.712,1090.609,1084.485,1089.807,527779527,0.095,1089.712,600732446606,25432,,,,,,,,INFRASTRUC,51,700672373439158.0
10-04-2015,1089.807,1090.155,1084.908,1089.922,571619285,0.115,1089.807,840656472164,24706,,,,,,,,INFRASTRUC,51,700746395786045.0
13-04-2015,1089.922,1089.402,1078.465,1078.465,853958092,-11.457,1089.922,761168289160,27260,,,,,,,,INFRASTRUC,51,693380343090043.0
14-04-2015,1078.465,1077.91,1068.173,1074.2,589314124,-4.265,1078.465,939075075270,28875,,,,,,,,INFRASTRUC,51,690638633926894.0
15-04-2015,1074.2,1076.174,1061.146,1069.077,1337112982,-5.123,1074.2,1052939386282,38226,,,,,,,,INFRASTRUC,51,687345040109059.0
16-04-2015,1069.077,1070.263,1064.387,1067.866,573218298,-1.211,1069.077,1120958990380,32140,,,,,,,,INFRASTRUC,51,686566257646349.0
17-04-2015,1067.866,1076.836,1067.416,1074.807,2108808300,6.941,1067.866,914921748654,25085,,,,,,,,INFRASTRUC,51,691029065528359.0
20-04-2015,1074.807,1076.414,1069.97,1076.414,523156070,1.607,1074.807,650703659980,25436,,,,,,,,INFRASTRUC,51,692062093607125.0
21-04-2015,1076.414,1086.656,1073.977,1086.656,661915274,10.242,1076.414,841353381970,30936,,,,,,,,INFRASTRUC,51,698679557860777.0
22-04-2015,1086.656,1085.51,1079.973,1083.365,500843525,-3.291,1086.656,615787145925,33474,,,,,,,,INFRASTRUC,51,696563553830876.0
23-04-2015,1083.365,1090.143,1083.755,1085.367,452468783,2.002,1083.365,741873643580,26072,,,,,,,,INFRASTRUC,51,697850653787196.0
