Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,1335.205,1343.781,1337.569,1340.496,800287350,5.291,1335.205,1314215639900,35769,,,,,,,,MANUFACTUR,143,1.77190608734911E+15
05-01-2015,1340.496,1340.645,1327.695,1337.013,920229228,-3.483,1340.496,1085014152767,57913,,,,,,,,MANUFACTUR,143,1.7665429285341E+15
06-01-2015,1337.013,1328.651,1319.85,1319.85,657624138,-17.163,1337.013,985926932382,53155,,,,,,,,MANUFACTUR,143,1.74712481744858E+15
07-01-2015,1319.85,1335.146,1318.517,1333.368,911727708,13.518,1319.85,1121124631028,58608,,,,,,,,MANUFACTUR,143,1.76231564255424E+15
08-01-2015,1333.368,1338.518,1325.738,1325.738,987499171,-7.63,1333.368,1284257308713,55627,,,,,,,,MANUFACTUR,143,1.75414632269294E+15
09-01-2015,1325.738,1330.071,1316.608,1318.57,651466114,-7.168,1325.738,1440728895719,51303,,,,,,,,MANUFACTUR,143,1.74659380045262E+15
12-01-2015,1318.57,1319.353,1308.327,1308.7,790013131,-9.87,1318.57,934967330315,49811,,,,,,,,MANUFACTUR,143,1.73508434473076E+15
13-01-2015,1308.7,1327.315,1316.195,1326.413,963348046,17.713,1308.7,1161962050280,65710,,,,,,,,MANUFACTUR,143,1.75445011330665E+15
14-01-2015,1326.413,1329.994,1312.673,1312.673,1400250576,-13.74,1326.413,1263631317265,52664,,,,,,,,MANUFACTUR,143,1.73934251920046E+15
15-01-2015,1312.673,1326.716,1317.306,1325.857,732111544,13.184,1312.673,1160923379215,55011,,,,,,,,MANUFACTUR,143,1.75383908684833E+15
16-01-2015,1325.857,1332.313,1309.829,1313.474,843495148,-12.383,1325.857,1932823936375,86143,,,,,,,,MANUFACTUR,143,1.74022392301287E+15
19-01-2015,1313.474,1316.309,1308.116,1315.846,777833302,2.372,1313.474,1743896655125,63848,,,,,,,,MANUFACTUR,143,1.74173625191627E+15
20-01-2015,1315.846,1319.554,1310.608,1317.61,830714723,1.764,1315.846,1669310499910,63858,,,,,,,,MANUFACTUR,143,1.74367570402962E+15
21-01-2015,1317.61,1341.72,1313.804,1341.72,829796546,24.11,1317.61,1906776540915,53966,,,,,,,,MANUFACTUR,142,1.76933332928693E+15
22-01-2015,1341.72,1362.174,1339.403,1361.404,1670493436,19.684,1341.72,2378329925381,63872,,,,,,,,MANUFACTUR,142,1.7914045923845E+15
23-01-2015,1361.404,1386.554,1369.478,1386.554,872549422,25.15,1361.404,2306014247525,81599,,,,,,,,MANUFACTUR,142,1.81970219437152E+15
26-01-2015,1386.554,1383.349,1346.81,1367.655,1156788959,-18.899,1386.554,1823491346345,69724,,,,,,,,MANUFACTUR,142,1.7980554467991E+15
27-01-2015,1367.655,1370.134,1355.144,1368.215,1171346638,0.56,1367.655,1357050603187,61383,,,,,,,,MANUFACTUR,142,1.79888993677764E+15
28-01-2015,1368.215,1367.932,1361.687,1364.518,960010563,-3.697,1368.215,902037344405,41406,,,,,,,,MANUFACTUR,142,1.79460790288322E+15
29-01-2015,1364.518,1363.648,1356.996,1358.292,886306472,-6.226,1364.518,980847361462,42853,,,,,,,,MANUFACTUR,142,1.78710800059801E+15
30-01-2015,1358.292,1370.433,1363.427,1370.433,830474557,12.141,1358.292,1557094592639,37984,,,,,,,,MANUFACTUR,142,1.80067027799996E+15
02-02-2015,1370.433,1367.178,1354.52,1360.98,679986754,-9.453,1370.433,1067563673950,44226,,,,,,,,MANUFACTUR,142,1.78830957033987E+15
03-02-2015,1360.98,1368.823,1354.701,1355.917,856194703,-5.063,1360.98,1117750525556,46953,,,,,,,,MANUFACTUR,142,1.7834018598526E+15
04-02-2015,1355.917,1365.739,1352.268,1357.695,847012143,1.778,1355.917,1368326294385,55251,,,,,,,,MANUFACTUR,142,1.78360321770756E+15
05-02-2015,1357.695,1356.555,1335.671,1342.671,1011909630,-15.024,1357.695,1525810367969,63070,,,,,,,,MANUFACTUR,142,1.76709169189246E+15
06-02-2015,1342.671,1365.246,1342.434,1365.246,656123063,22.575,1342.671,1255572128835,40673,,,,,,,,MANUFACTUR,142,1.7913544988929E+15
09-02-2015,1365.246,1371.408,1356.541,1360.577,447112339,-4.669,1365.246,887281052695,34245,,,,,,,,MANUFACTUR,142,1.78457928961633E+15
10-02-2015,1360.577,1366.195,1350.391,1351.812,490140213,-8.765,1360.577,976927943814,37363,,,,,,,,MANUFACTUR,142,1.7738502981741E+15
11-02-2015,1351.812,1362.738,1352.033,1361.55,447427166,9.738,1351.812,1145104616260,45961,,,,,,,,MANUFACTUR,142,1.78455272788247E+15
12-02-2015,1361.55,1362.06,1348.93,1360.202,352530028,-1.348,1361.55,1072755512170,44056,,,,,,,,MANUFACTUR,142,1.78120845252836E+15
13-02-2015,1360.202,1367.34,1356.272,1367.34,343660409,7.138,1360.202,991739939714,30630,,,,,,,,MANUFACTUR,142,1.78916235769417E+15
16-02-2015,1367.34,1370.074,1348.467,1348.467,505859601,-18.873,1367.34,862579472806,34636,,,,,,,,MANUFACTUR,142,1.76754399251493E+15
17-02-2015,1348.467,1354.879,1349.432,1353.471,396384805,5.004,1348.467,729046205500,31593,,,,,,,,MANUFACTUR,142,1.77238699401681E+15
18-02-2015,1353.471,1365.727,1355.778,1357.604,556377891,4.133,1353.471,1293960948335,36927,,,,,,,,MANUFACTUR,142,1.77868148500945E+15
20-02-2015,1357.604,1358.508,1349.812,1350.014,377099095,-7.59,1357.604,595532822821,28174,,,,,,,,MANUFACTUR,142,1.77077885013816E+15
23-02-2015,1350.014,1356.851,1349.694,1354.898,460557555,4.884,1350.014,840938971405,57919,,,,,,,,MANUFACTUR,142,1.77439259973968E+15
24-02-2015,1354.898,1359.534,1350.267,1359.534,387914502,4.636,1354.898,1097509066575,47298,,,,,,,,MANUFACTUR,142,1.7794880295091E+15
25-02-2015,1359.534,1370.588,1360.664,1370.32,509056654,10.786,1359.534,968581045585,45928,,,,,,,,MANUFACTUR,142,1.79156095908072E+15
26-02-2015,1370.32,1371.342,1359.593,1367.848,1103391097,-2.472,1370.32,1136157721500,49050,,,,,,,,MANUFACTUR,142,1.7888446054238E+15
27-02-2015,1367.848,1368.283,1354.1,1354.1,616344184,-13.748,1367.848,1373323783950,52226,,,,,,,,MANUFACTUR,142,1.77395415165243E+15
02-03-2015,1354.1,1361.522,1352.111,1361.522,550363747,7.422,1354.1,1176543621471,48308,,,,,,,,MANUFACTUR,142,1.78430233909073E+15
03-03-2015,1361.522,1370.285,1361.117,1364.527,695238069,3.005,1361.522,1447060247645,48754,,,,,,,,MANUFACTUR,142,1.78760520869323E+15
04-03-2015,1364.527,1368.571,1356.547,1356.547,709832676,-7.98,1364.527,1129899736864,37117,,,,,,,,MANUFACTUR,142,1.77883464344928E+15
05-03-2015,1356.547,1366.395,1354.721,1354.721,947940673,-1.826,1356.547,969511185580,46367,,,,,,,,MANUFACTUR,142,1.77682844779037E+15
06-03-2015,1354.721,1378.219,1355.51,1378.219,824966716,23.498,1354.721,1082929824475,62446,,,,,,,,MANUFACTUR,142,1.80298212670932E+15
09-03-2015,1378.219,1370.533,1358.009,1361.937,776531134,-16.282,1378.219,1335940613925,62360,,,,,,,,MANUFACTUR,142,1.78596401130789E+15
10-03-2015,1361.937,1369.051,1350.643,1367.378,1272313544,5.441,1361.937,1389472430053,57186,,,,,,,,MANUFACTUR,142,1.7919441421982E+15
11-03-2015,1367.378,1361.826,1353.103,1360.377,727421877,-7.001,1367.378,1672154701050,59543,,,,,,,,MANUFACTUR,142,1.78435989447672E+15
12-03-2015,1360.377,1373.822,1358.016,1371.091,952613221,10.714,1360.377,1297401385455,52987,,,,,,,,MANUFACTUR,142,1.79613402577634E+15
13-03-2015,1371.091,1375.155,1364.889,1365.059,827465486,-6.032,1371.091,1127755367610,59419,,,,,,,,MANUFACTUR,142,1.7895054476985E+15
16-03-2015,1365.059,1370.72,1362.649,1365.775,1103986846,0.716,1365.059,1270782361835,38748,,,,,,,,MANUFACTUR,142,1.79116819206247E+15
17-03-2015,1365.775,1374.221,1361.032,1363.751,969405348,-2.024,1365.775,1210527986636,48261,,,,,,,,MANUFACTUR,142,1.78587602739442E+15
18-03-2015,1363.751,1362.686,1348.218,1348.218,566298124,-15.533,1363.751,1019828041515,41619,,,,,,,,MANUFACTUR,142,1.7748318752457E+15
19-03-2015,1348.218,1365.817,1359.012,1362.636,1240152438,14.418,1348.218,1938569102000,47936,,,,,,,,MANUFACTUR,142,1.79122556021102E+15
20-03-2015,1362.636,1361.763,1351.009,1357.544,794470083,-5.092,1362.636,1689438244040,44607,,,,,,,,MANUFACTUR,142,1.78562887816002E+15
23-03-2015,1357.544,1369.132,1357.592,1357.592,1802233297,0.048,1357.544,1573689535790,57456,,,,,,,,MANUFACTUR,142,1.78590108692751E+15
24-03-2015,1357.592,1359.971,1352.855,1357.508,1047013937,-0.084,1357.592,1727376905035,50027,,,,,,,,MANUFACTUR,142,1.78668467172315E+15
25-03-2015,1357.508,1356.231,1342.446,1343.95,2218122563,-13.558,1357.508,1659962242360,52565,,,,,,,,MANUFACTUR,142,1.77320880558906E+15
26-03-2015,1343.95,1344.311,1333.073,1333.073,1112014421,-10.877,1343.95,1386046421390,58342,,,,,,,,MANUFACTUR,142,1.76180278786733E+15
27-03-2015,1333.073,1347.53,1329.166,1347.53,547490099,14.457,1333.073,1272282941307,37927,,,,,,,,MANUFACTUR,142,1.7779104839847E+15
