Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,1368.999,1375.38,1364.718,1368.873,783777600,-0.126,1368.999,198921031700,13814,,,,,,,,MINING,41,255033481716411.0
05-01-2015,1368.873,1370.121,1344.898,1356.715,874615261,-12.158,1368.873,209560233750,20608,,,,,,,,MINING,41,252761959365035.0
06-01-2015,1356.715,1350.715,1322.66,1333.814,561850435,-22.901,1356.715,203701928592,24288,,,,,,,,MINING,41,248514908141429.0
07-01-2015,1333.814,1346.547,1332.968,1339.751,399914298,5.937,1333.814,175148254360,17735,,,,,,,,MINING,41,249617937458795.0
08-01-2015,1339.751,1348.817,1334.998,1337.532,1411112239,-2.219,1339.751,429563376090,29287,,,,,,,,MINING,41,249153180999720.0
09-01-2015,1337.532,1358.18,1341.006,1351.462,2562285546,13.93,1337.532,525283170480,32556,,,,,,,,MINING,41,251761909143023.0
12-01-2015,1351.462,1356.095,1333.966,1340.796,666491693,-10.666,1351.462,211333937250,20802,,,,,,,,MINING,41,249800456535647.0
13-01-2015,1340.796,1339.238,1322.916,1327.61,1588157791,-13.186,1340.796,373805999075,27809,,,,,,,,MINING,41,247305815083424.0
14-01-2015,1327.61,1333.858,1307.085,1307.778,1334516089,-19.832,1327.61,400488176900,28800,,,,,,,,MINING,41,243627570400400.0
15-01-2015,1307.778,1318.282,1303.601,1309.242,975379168,1.464,1307.778,345841608465,22927,,,,,,,,MINING,41,243888469930796.0
16-01-2015,1309.242,1308.912,1294.287,1294.688,658002298,-14.554,1309.242,247377349680,19962,,,,,,,,MINING,41,241876445617295.0
19-01-2015,1294.688,1309.183,1293.496,1296.435,349245315,1.747,1294.688,171084976825,17806,,,,,,,,MINING,41,242202765077643.0
20-01-2015,1296.435,1315.225,1289.532,1313.915,662312965,17.48,1296.435,288874727816,21286,,,,,,,,MINING,41,245468494140366.0
21-01-2015,1313.915,1318.278,1298.976,1312.957,457504588,-0.958,1313.915,272754069500,23301,,,,,,,,MINING,41,245289463304858.0
22-01-2015,1312.957,1331.469,1316.566,1330.285,721954443,17.328,1312.957,340200707645,23383,,,,,,,,MINING,41,248526726411474.0
23-01-2015,1330.285,1341.566,1325.387,1330.781,554751597,0.496,1330.285,251293103666,24555,,,,,,,,MINING,41,248619441302227.0
26-01-2015,1330.781,1329.451,1306.704,1313.16,304845574,-17.621,1330.781,165470549100,18725,,,,,,,,MINING,41,245327383497287.0
27-01-2015,1313.16,1330.966,1313.296,1330.966,329425115,17.806,1313.16,182295609770,16802,,,,,,,,MINING,41,248654246759832.0
28-01-2015,1330.966,1338.563,1327.912,1335.578,361520800,4.612,1330.966,168581054480,14804,,,,,,,,MINING,41,249515941879014.0
29-01-2015,1335.578,1334.356,1327.029,1332.849,308381921,-2.729,1335.578,189197829815,16522,,,,,,,,MINING,41,249006771344809.0
30-01-2015,1332.849,1341.933,1332.234,1339.286,383434269,6.437,1332.849,332650254080,19706,,,,,,,,MINING,41,250209411290632.0
02-02-2015,1339.286,1346.532,1330.531,1332.322,352022230,-6.964,1339.286,182856073940,18434,,,,,,,,MINING,41,248908255687557.0
03-02-2015,1332.322,1344.776,1330.839,1332.308,627109040,-0.014,1332.322,235189188596,17033,,,,,,,,MINING,41,248905798724960.0
04-02-2015,1332.308,1354.58,1336.909,1340.858,737392143,8.55,1332.308,541080760800,23785,,,,,,,,MINING,41,250503051533894.0
05-02-2015,1340.858,1340.587,1327.684,1332.475,285180577,-8.383,1340.858,176996466665,14726,,,,,,,,MINING,41,248936891777139.0
06-02-2015,1332.475,1347.837,1337.432,1347.837,440409746,15.362,1332.475,288873947141,15867,,,,,,,,MINING,41,251806853072943.0
09-02-2015,1347.837,1354.326,1340.775,1343.732,299867025,-4.105,1347.837,260881661500,16756,,,,,,,,MINING,41,251039945527039.0
10-02-2015,1343.732,1348.698,1336.943,1346.926,728976200,3.194,1343.732,232725687300,20383,,,,,,,,MINING,41,251636613241611.0
11-02-2015,1346.926,1355.074,1343.605,1347.384,718302480,0.458,1346.926,334419528470,25791,,,,,,,,MINING,41,251722220047158.0
12-02-2015,1347.384,1351.703,1340.463,1348.278,532616517,0.894,1347.384,294670281675,22500,,,,,,,,MINING,41,251911024131182.0
13-02-2015,1348.278,1361.27,1352.674,1356.13,516101487,7.852,1348.278,358626616246,16032,,,,,,,,MINING,41,253378166516761.0
16-02-2015,1356.13,1363.384,1344.318,1346.587,549106341,-9.543,1356.13,394595250140,14153,,,,,,,,MINING,41,251616646213699.0
17-02-2015,1346.587,1350.406,1338.952,1344.837,443236429,-1.75,1346.587,299733076275,16231,,,,,,,,MINING,41,251289629022770.0
18-02-2015,1344.837,1351.128,1342.86,1342.86,259787170,-1.977,1344.837,185893010680,13000,,,,,,,,MINING,41,250952716948582.0
20-02-2015,1342.86,1345.863,1334.453,1335.001,291571249,-7.859,1342.86,177442525974,12065,,,,,,,,MINING,41,249545286840741.0
23-02-2015,1335.001,1338.728,1306.049,1320.083,258955874,-14.918,1335.001,182742762612,16439,,,,,,,,MINING,41,246767327020966.0
24-02-2015,1320.083,1323.672,1304.693,1304.904,350690498,-15.179,1320.083,276269681320,20756,,,,,,,,MINING,41,243938205455684.0
