Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,1307.073,1314.487,1292.78,1300.555,105519000,-6.518,1307.073,132431124600,5376,,,,,,,,MISC-IND,41,370642053982396.0
05-01-2015,1300.555,1297.169,1274.173,1274.173,194553000,-26.382,1300.555,181691898000,8982,,,,,,,,MISC-IND,41,363123504084636.0
06-01-2015,1274.173,1267.07,1243.936,1243.936,192555568,-30.237,1274.173,326363073510,10710,,,,,,,,MISC-IND,41,354506535737071.0
07-01-2015,1243.936,1261.045,1236.834,1256.749,257654606,12.813,1243.936,303951226600,10154,,,,,,,,MISC-IND,41,358158099951429.0
08-01-2015,1256.749,1264.204,1245.108,1245.508,233931942,-11.241,1256.749,316715275245,9180,,,,,,,,MISC-IND,41,354954331930962.0
09-01-2015,1245.508,1254.77,1235.503,1241.457,155053946,-4.051,1245.508,554286598650,9075,,,,,,,,MISC-IND,41,353799929954196.0
12-01-2015,1241.457,1247.937,1236.46,1238.616,161899550,-2.841,1241.457,216808140100,6129,,,,,,,,MISC-IND,41,352990303866068.0
13-01-2015,1238.616,1263.958,1242.119,1262.942,195411646,24.326,1238.616,242769358380,9579,,,,,,,,MISC-IND,41,359922952849062.0
14-01-2015,1262.942,1263.74,1244.601,1244.601,180393200,-18.341,1262.942,210869236600,9578,,,,,,,,MISC-IND,41,354695934837210.0
15-01-2015,1244.601,1277.092,1251.299,1276.225,221725796,31.624,1244.601,270480979568,22620,,,,,,,,MISC-IND,41,363708445318039.0
16-01-2015,1276.225,1283.539,1258.302,1279.588,101983054,3.363,1276.225,204172567050,6602,,,,,,,,MISC-IND,41,364666925817863.0
19-01-2015,1279.588,1299.231,1279.585,1296.455,185451775,16.867,1279.588,289312932325,9324,,,,,,,,MISC-IND,41,369473568814656.0
20-01-2015,1296.455,1303.808,1291.496,1299.314,183061800,2.859,1296.455,320717613300,23144,,,,,,,,MISC-IND,41,370288601806489.0
21-01-2015,1299.314,1335.676,1302.692,1333.629,269886365,34.315,1299.314,574018523900,12988,,,,,,,,MISC-IND,41,380067749882175.0
22-01-2015,1333.629,1345.408,1330.728,1345.408,262171300,11.779,1333.629,432181540400,10236,,,,,,,,MISC-IND,41,383424632976456.0
23-01-2015,1345.408,1395.705,1352.51,1393.646,215139692,48.238,1345.408,775353692800,13132,,,,,,,,MISC-IND,41,397171865865823.0
26-01-2015,1393.646,1398.241,1356.298,1385.631,399930426,-8.015,1393.646,506606565650,15515,,,,,,,,MISC-IND,41,394887844081856.0
27-01-2015,1385.631,1383.187,1344.347,1357.491,231571128,-28.14,1385.631,404030714890,22825,,,,,,,,MISC-IND,41,386868246863654.0
28-01-2015,1357.491,1367.954,1349.226,1358.652,312799359,1.161,1357.491,184974177310,10695,,,,,,,,MISC-IND,41,387199115443332.0
29-01-2015,1358.652,1362.243,1347.679,1347.679,201637610,-10.973,1358.652,299757225750,10392,,,,,,,,MISC-IND,41,384071834528956.0
30-01-2015,1347.679,1372.596,1358.511,1362.554,186623300,14.875,1347.679,593352204900,7147,,,,,,,,MISC-IND,41,388311018785685.0
02-02-2015,1362.554,1366.135,1334.642,1348.788,191691224,-13.766,1362.554,293393080300,7572,,,,,,,,MISC-IND,41,384387840901982.0
03-02-2015,1348.788,1352.97,1324.735,1331.52,154499716,-17.268,1348.788,218432694860,12163,,,,,,,,MISC-IND,41,379467037016781.0
04-02-2015,1331.52,1346.527,1330.688,1343.431,273631391,11.911,1331.52,323654871375,10940,,,,,,,,MISC-IND,41,382861424949475.0
05-02-2015,1343.431,1347.008,1308.935,1316.819,408090800,-26.612,1343.431,489259149300,22290,,,,,,,,MISC-IND,41,375277331137016.0
06-02-2015,1316.819,1325.144,1303.812,1325.144,343105330,8.325,1316.819,532493039300,10310,,,,,,,,MISC-IND,41,377649984895202.0
09-02-2015,1325.144,1339.523,1317.995,1324.264,185791719,-0.88,1325.144,232847532245,7566,,,,,,,,MISC-IND,41,377398998468539.0
10-02-2015,1324.264,1342.687,1327.925,1331.908,254686842,7.644,1324.264,367845882200,11491,,,,,,,,MISC-IND,41,379577502207641.0
11-02-2015,1331.908,1368.296,1332.052,1368.296,183806839,36.388,1331.908,502755933425,9886,,,,,,,,MISC-IND,41,389947648307036.0
12-02-2015,1368.296,1374.941,1343.627,1374.941,127199950,6.645,1368.296,343828022500,9096,,,,,,,,MISC-IND,41,391841403000016.0
13-02-2015,1374.941,1384.039,1366.158,1378.682,173466578,3.741,1374.941,496528003543,9803,,,,,,,,MISC-IND,41,392907499575192.0
16-02-2015,1378.682,1383.106,1351.271,1355.073,273676906,-23.609,1378.682,258444983500,9241,,,,,,,,MISC-IND,41,386179129538305.0
17-02-2015,1355.073,1357.024,1343.449,1350.504,223633355,-4.569,1355.073,204577737800,8995,,,,,,,,MISC-IND,41,384877065820914.0
18-02-2015,1350.504,1386.266,1357.642,1371.496,334333745,20.992,1350.504,650937494550,10032,,,,,,,,MISC-IND,41,390859750936076.0
20-02-2015,1371.496,1372.409,1355.979,1357.738,184395713,-13.758,1371.496,177230389634,7964,,,,,,,,MISC-IND,41,386938818639405.0
23-02-2015,1357.738,1365.832,1348.317,1365.126,260362426,7.388,1357.738,252433982650,22209,,,,,,,,MISC-IND,41,389044309633088.0
24-02-2015,1365.126,1377.802,1356.238,1377.802,140917441,12.676,1365.126,253201289550,8717,,,,,,,,MISC-IND,41,392656747944693.0
25-02-2015,1377.802,1403.327,1374.308,1398.19,283896400,20.388,1377.802,400505367050,11326,,,,,,,,MISC-IND,41,398467018691359.0
26-02-2015,1398.19,1398.63,1380.406,1384.156,248891000,-14.034,1398.19,277967885200,10086,,,,,,,,MISC-IND,41,394467606655485.0
27-02-2015,1384.156,1388.471,1355.008,1355.539,147630100,-28.617,1384.156,466822011600,10468,,,,,,,,MISC-IND,41,386312202375120.0
02-03-2015,1355.539,1362.193,1347.508,1357.374,206652852,1.835,1355.539,468680997740,9209,,,,,,,,MISC-IND,41,386835134878786.0
03-03-2015,1357.374,1382.886,1357.34,1376.126,192018394,18.752,1357.374,497065514750,11525,,,,,,,,MISC-IND,41,392178985277293.0
04-03-2015,1376.126,1383.101,1356.588,1356.588,279758798,-19.538,1376.126,324700028050,9657,,,,,,,,MISC-IND,41,386611103971037.0
05-03-2015,1356.588,1374.717,1354.599,1354.599,486969880,-1.989,1356.588,376056284750,16324,,,,,,,,MISC-IND,41,386044067495417.0
06-03-2015,1354.599,1386.97,1357.859,1386.97,409571385,32.371,1354.599,370279799850,24284,,,,,,,,MISC-IND,41,395269402906691.0
09-03-2015,1386.97,1386.988,1358.099,1368.623,377639765,-18.347,1386.97,568360696150,16092,,,,,,,,MISC-IND,41,390040919328771.0
10-03-2015,1368.623,1383.772,1364.968,1372.356,198343801,3.733,1368.623,205908633925,10188,,,,,,,,MISC-IND,41,391104846164612.0
11-03-2015,1372.356,1376.772,1353.693,1353.777,229522162,-18.579,1372.356,497265002750,12526,,,,,,,,MISC-IND,41,385809920937207.0
12-03-2015,1353.777,1372.587,1353.777,1362.95,479096053,9.173,1353.777,458658438075,11681,,,,,,,,MISC-IND,41,388424191003170.0
