Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,524.908,533.476,525.377,532.963,1441825645,8.055,524.908,940368693385,32508,,,,,,,,PROPERTY,54,365528674633056.0
05-01-2015,532.963,533.887,530.468,532.765,1324120023,-0.198,532.963,1691407439107,40948,,,,,,,,PROPERTY,54,365393388418388.0
06-01-2015,532.765,530.663,522.873,526.081,1086034247,-6.684,532.765,1014252842140,52948,,,,,,,,PROPERTY,54,360808785159465.0
07-01-2015,526.081,538.192,526.017,537.189,2356671635,11.108,526.081,1381400766315,56119,,,,,,,,PROPERTY,54,368427329255900.0
08-01-2015,537.189,546.354,539.673,543.285,1886456711,6.096,537.189,1844139893701,51549,,,,,,,,PROPERTY,54,372608087357449.0
09-01-2015,543.285,548.22,541.928,542.569,2025432345,-0.716,543.285,1181346534175,42380,,,,,,,,PROPERTY,54,372116978924851.0
12-01-2015,542.569,547.559,539.759,540.62,1457219584,-1.949,542.569,798985100063,33575,,,,,,,,PROPERTY,54,370787417254487.0
13-01-2015,540.62,541.722,535.073,536.947,3827113330,-3.673,540.62,1989268343150,40442,,,,,,,,PROPERTY,54,368268354244209.0
14-01-2015,536.947,539.19,528.934,530.072,1236033200,-6.875,536.947,819619172300,38027,,,,,,,,PROPERTY,54,363553455673187.0
15-01-2015,530.072,536.537,530.692,535.831,1404135924,5.759,530.072,1027732405324,35905,,,,,,,,PROPERTY,54,367503843893906.0
16-01-2015,535.831,538.233,531.75,535.119,841918419,-0.712,535.831,682581097424,33867,,,,,,,,PROPERTY,54,367014987267697.0
19-01-2015,535.119,545.679,536.321,538.406,1696302003,3.287,535.119,1037380747745,41853,,,,,,,,PROPERTY,54,369269507706805.0
20-01-2015,538.406,542.256,535.444,539.794,1808659663,1.388,538.406,1008575143845,41199,,,,,,,,PROPERTY,54,370222003623583.0
21-01-2015,539.794,542.268,538.8,542.129,1486150767,2.335,539.794,889028182955,41244,,,,,,,,PROPERTY,54,371823571375671.0
22-01-2015,542.129,557.197,542.468,556.376,2705739616,14.247,542.129,1721289394545,61415,,,,,,,,PROPERTY,54,381594951792023.0
23-01-2015,556.376,567.426,557.963,557.963,2476762981,1.587,556.376,1994669722618,67291,,,,,,,,PROPERTY,54,382683753380623.0
26-01-2015,557.963,557.753,544.7,549.576,1656238445,-8.387,557.963,1417108357010,57614,,,,,,,,PROPERTY,54,376931391716961.0
