Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
02-01-2015,878.634,881.191,875.854,881.191,702542478,2.557,878.634,777333789336,24715,,,,,,,,TRADE,112,627100028277896.0
05-01-2015,881.191,880.709,872.876,874.885,696199856,-6.306,881.191,774508805308,32591,,,,,,,,TRADE,112,622672184500943.0
06-01-2015,874.885,873.776,869.67,869.67,618218547,-5.215,874.885,672942619875,36584,,,,,,,,TRADE,112,618967508868191.0
07-01-2015,869.67,871.285,866.547,868.664,743118695,-1.006,869.67,864824233723,36597,,,,,,,,TRADE,112,618252851097578.0
08-01-2015,868.664,872.848,870.381,871.503,587012747,2.839,868.664,754072207541,34522,,,,,,,,TRADE,112,620276447890328.0
09-01-2015,871.503,877.728,873.03,873.03,593837605,1.527,871.503,836346782129,31113,,,,,,,,TRADE,112,621357433456334.0
12-01-2015,873.03,879.554,873.618,877.846,739453979,4.816,873.03,786244252815,32584,,,,,,,,TRADE,112,624785680507471.0
13-01-2015,877.846,894.023,873.573,894.023,1123137209,16.177,877.846,1898195424921,38820,,,,,,,,TRADE,112,636277832870293.0
14-01-2015,894.023,895.102,879.612,879.612,748312211,-14.411,894.023,1048345399862,33048,,,,,,,,TRADE,112,626040482040167.0
15-01-2015,879.612,882.314,877.131,878.281,872679569,-1.331,879.612,1303440196333,26870,,,,,,,,TRADE,112,625094311314697.0
16-01-2015,878.281,879.42,861.488,861.488,429790513,-16.793,878.281,624241253380,24033,,,,,,,,TRADE,112,613164683596024.0
19-01-2015,861.488,869.961,859.477,869.961,718297149,8.473,861.488,858997902330,27859,,,,,,,,TRADE,112,619184176450009.0
20-01-2015,869.961,880.15,869.333,880.15,527292562,10.189,869.961,756534301894,25851,,,,,,,,TRADE,112,626422515955488.0
21-01-2015,880.15,897.38,880.704,895.054,624107873,14.904,880.15,876664398594,33132,,,,,,,,TRADE,112,637033558032919.0
22-01-2015,895.054,904.857,892.749,892.749,1192782160,-2.305,895.054,1236876184918,44023,,,,,,,,TRADE,112,635421076210076.0
23-01-2015,892.749,901.241,894.738,898.74,752959401,5.991,892.749,1107301467881,52222,,,,,,,,TRADE,112,639677829478326.0
26-01-2015,898.74,899.423,886.659,893.749,1134862541,-4.991,898.74,4931751445590,44656,,,,,,,,TRADE,112,636131600909906.0
27-01-2015,893.749,904.361,890.831,895.799,607376305,2.05,893.749,999575988910,37418,,,,,,,,TRADE,112,637588606216945.0
